Close,S_3,S_9
145.8200073,146.2533366,145.9655558
145.6900024,146.1400045,146.2755568
146.5399933,146.0166677,146.5633341
146.3099976,146.1799978,146.6133338
146.5800018,146.4766642,146.5233341
146.7400055,146.543335,146.3866679
146.7899933,146.7033335,146.3788893
147.1199951,146.8833313,146.5
147.9799957,147.2966614,146.618888
148.9900055,148.0299988,146.97111
147.6600037,148.2100016,147.1899991
148.4600067,148.3700053,147.4033339
148.4700012,148.1966705,147.6433343
149.3300018,148.7533366,147.9488898
148.3600006,148.7200012,148.1288893
146.4299927,148.0399984,148.0888892
146.6100006,147.1333313,148.0322232
147.3999939,146.8133291,147.9677785
147.7899933,147.2666626,147.8344438
148.1699982,147.7866618,147.8911099
147.6600037,147.8733317,147.8022207
147.5399933,147.7899984,147.6988864
148.3800049,147.8600006,147.5933312
149,148.3066661,147.6644423
150.9100037,149.4300028,148.1622213
151.7899933,150.5666656,148.737776
152.4100037,151.7033335,149.2944438
154.6999969,152.9666646,150.062222
156.0899963,154.399999,150.9422217
153.3000031,154.6966654,151.5688883
